------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.85131	-10.6263	-2.88278	1.79049	-0.23936	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	1.22532
9.87993	-10.7758	-2.86975	1.7756	-0.241046	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.0745835
9.88837	-10.911	-2.58102	1.74387	-0.266881	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.77961
9.904	-11.0452	-2.57313	1.72523	-0.271305	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.229811
9.90732	-11.1983	-2.72773	1.69389	-0.294082	9.83952	-11.1692	9.85	-11.2	0	-2.99965	1.03158
9.91674	-11.3314	-2.73058	1.67513	-0.298829	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.257196
9.90252	-11.5051	-2.89837	1.6295	-0.338994	9.87961	-11.5637	9.85	-11.5	0	-2.99843	2.69054
9.9016	-11.6434	-2.89058	1.60818	-0.343707	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.250915
9.84811	-11.7445	-2.23635	1.53304	-0.424317	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	14.3316
9.8338	-11.85	-2.23394	1.50669	-0.429877	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.353946
9.79513	-12.0048	-2.50259	1.45806	-0.46396	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	2.80827
9.76963	-12.1259	-2.51645	1.4282	-0.47151	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.672531
9.70571	-12.2589	-2.36531	1.356	-0.537122	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	7.22734
9.66668	-12.3651	-2.36664	1.32143	-0.545267	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.704371
9.56866	-12.4719	-2.11012	1.22216	-0.640556	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	14.9961
9.51578	-12.5617	-2.12583	1.18011	-0.651085	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	1.18202
9.42249	-12.7118	-2.36964	1.11124	-0.693328	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	3.68866
9.34791	-12.8137	-2.37074	1.06285	-0.70365	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.948246
9.20173	-12.9	-2.10933	0.922203	-0.845406	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	30.7226
9.10797	-12.9714	-2.18021	0.861919	-0.863799	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	3.51411
8.92032	-13.1049	-2.60516	0.743899	-0.955149	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	14.4664
8.79414	-13.1737	-2.59836	0.675109	-0.970637	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.76982
8.62567	-13.2393	-2.76552	0.562239	-1.05621	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	8.97619
8.4875	-13.2855	-2.77661	0.492622	-1.07175	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.75092
8.30455	-13.3014	-2.89465	0.358135	-1.17156	8.22926	-13.1698	8.2	-13.15	-2.72741	0	12.0728
8.13591	-13.3216	-2.89478	0.274356	-1.189	8.03583	-13.1513	8.05	-13.15	-2.72742	0	2.04805
7.97229	-13.3221	-2.92745	0.175498	-1.23003	7.82914	-13.0525	7.9	-13.15	-2.72986	0	2.7946
7.80305	-13.3182	-2.91311	0.0918273	-1.24435	7.76538	-13.1647	7.75	-13.15	-2.72986	0	1.30994
7.70336	-13.3567	-2.51253	0.068818	-1.19113	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	5.75848
7.56068	-13.3428	-2.55749	-0.00179068	-1.1998	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.09761
7.37518	-13.3432	-2.78329	-0.0616145	-1.19104	7.21108	-13.0985	7.3	-13.25	-2.72846	0	1.83123
7.21321	-13.3143	-2.80646	-0.135399	-1.19772	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.455308
7.03676	-13.2581	-3.13168	-0.221194	-1.22848	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.35617
6.87908	-13.2081	-3.14578	-0.28867	-1.23329	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.231495
6.73759	-13.1661	-2.94678	-0.349801	-1.22461	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.565109
6.58323	-13.0991	-2.96034	-0.420098	-1.22672	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.0863288
6.45694	-13.0923	-2.40597	-0.438234	-1.16434	6.40137	-13.0799	6.4	-13.05	-2.72678	0	8.71294
6.33323	-13.0321	-2.4317	-0.500007	-1.16129	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.265523
6.16733	-12.9973	-2.51661	-0.515833	-1.10483	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	4.66735
6.04149	-12.924	-2.54911	-0.573648	-1.10079	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0.501423
5.84297	-12.8293	-3.29479	-0.603209	-1.07389	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	7.15426
5.70563	-12.7303	-3.31127	-0.655785	-1.07193	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.143818
5.59077	-12.6847	-2.60126	-0.672822	-1.01567	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	9.57452
5.48099	-12.5996	-2.60245	-0.723986	-1.01095	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.220047
5.32255	-12.4948	-2.97006	-0.752161	-0.978418	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	2.53364
5.20508	-12.3902	-2.97071	-0.798979	-0.971093	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.556848
5.06982	-12.3138	-2.79115	-0.806468	-0.913722	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	3.85292
4.96639	-12.2066	-2.78839	-0.853071	-0.909986	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.15457
4.8404	-12.1043	-2.89711	-0.86904	-0.872054	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	2.06172
4.7533	-12.0037	-2.87699	-0.909056	-0.869157	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.212073
4.66559	-11.871	-2.90528	-0.965357	-0.880368	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.180798
4.58203	-11.7415	-2.88989	-1.01512	-0.882725	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.181779
4.56059	-11.6327	-2.33411	-1.096	-0.923794	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	4.88666
4.50972	-11.5277	-2.31021	-1.14575	-0.923774	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.181435
4.42679	-11.3082	-3.52606	-1.20912	-0.947167	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	18.3536
4.37238	-11.1463	-3.51455	-1.25822	-0.950152	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.219879
4.39125	-11.0273	-2.51536	-1.3589	-1.01551	4.43713	-11.024	4.45	-11.05	0	1.81614	15.1024
4.37155	-10.9009	-2.49444	-1.4164	-1.01868	4.45136	-10.93	4.45	-10.95	0	1.81612	0.353114
