------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
129.946	13.7041	2.27956	0.177307	-0.0114797	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.185591
130.026	13.7174	2.47603	0.173004	-0.0144622	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.39176
132.094	14.4981	2.36604	0.424034	0.148703	132.092	14.507	132.53	14.458	2.55028	0.74543	0.168116
132.172	14.4808	2.76315	0.393093	0.116931	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.28695
135.066	15.0584	3.6204	0.0743576	-0.148954	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.513709
135.044	14.9972	2.83592	0.01296	-0.198056	135.127	14.6575	135.066	15.2513	2.58865	0.863795	1.75898
137.561	16.1895	2.71904	0.639275	0.309481	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.60469
137.596	16.2202	3.27069	0.602142	0.250418	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.904872
140.322	17.0229	2.72741	0.234857	-0.139431	140.331	17.008	140.242	17.1733	2.63994	1.07503	1.07972
140.331	17.0848	2.9477	0.25513	-0.128887	140.305	17.5379	140.242	17.1733	2.63994	1.07503	1.36297
142.89	17.9859	2.9935	0.328022	-0.00301213	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.0990025
142.842	18	2.97957	0.339376	0.00175299	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.703732
145.393	19.1588	3.15368	0.440073	0.0634191	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0262712
145.468	19.1869	3.17692	0.446161	0.0753797	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.73598
148.248	20.4776	3.59614	0.410938	0.0066694	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.0440572
148.213	20.519	3.11166	0.464121	0.0730929	148.146	20.9376	148.163	20.7364	2.66951	1.29702	1.37311
150.686	22.1124	3.34832	0.601535	0.112958	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0135442
150.678	22.0826	3.37502	0.583359	0.0936457	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.427004
153.418	23.4964	3.42727	0.417006	-0.0677731	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.187869
153.404	23.4355	3.06737	0.428159	-0.0397876	153.466	22.9115	153.491	23.3999	2.66999	1.3647	1.61802
156.047	24.8064	3.42144	0.455587	0.00233181	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0191424
156.025	24.8287	2.98209	0.498042	0.0601226	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.5748
158.899	26.0361	3.81122	0.314463	-0.0920165	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.208067
158.898	26.0433	3.2903	0.336616	-0.05377	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.800429
161.415	27.4199	2.99443	0.522666	0.0946103	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.146353
161.444	27.4594	3.01283	0.53855	0.107305	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.911549
163.624	28.7714	2.71119	0.531732	0.0360406	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0380751
163.736	28.8295	3.04963	0.520135	0.0205102	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.74495
166.821	30.2103	4.27883	0.315977	-0.118544	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.238011
166.752	30.1518	3.16267	0.347149	-0.0563114	166.748	29.7121	166.809	30.0721	2.63006	1.22694	2.75813
169.1	31.3672	2.70015	0.478837	0.0603365	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.102506
169.14	31.3193	2.9419	0.442307	0.0293441	169.345	30.7063	169.452	31.2706	2.61238	1.15075	1.84248
172.169	32.3461	3.99633	0.218467	-0.128622	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.242783
172.134	32.3562	3.09814	0.224932	-0.118589	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.57376
174.646	33.453	2.8767	0.455869	0.0973441	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.295175
174.623	33.4846	2.81877	0.476304	0.110878	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.831333
177.025	34.2108	2.7286	0.226451	-0.114351	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.331151
177.047	34.1854	2.62042	0.204532	-0.127709	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.633055
180.143	35.133	4.20876	0.347635	0.0389619	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.337611
179.998	35.147	2.86021	0.438061	0.137212	179.543	35.4767	179.799	35.1289	2.47883	0.732949	4.50632
182.594	35.764	2.98573	0.155293	-0.121028	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.433876
182.492	35.7813	2.5705	0.173776	-0.112532	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.87455
184.733	36.5058	2.60798	0.351856	0.0667503	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.203212
184.735	36.4834	2.34169	0.351717	0.07346	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.498276
186.942	36.9499	2.62886	0.135132	-0.104003	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.211632
187.002	36.955	2.5425	0.113714	-0.120219	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.14246
189.465	37.3989	2.97308	0.187541	-0.00282311	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.0986135
189.486	37.3743	2.39458	0.191709	0.000580854	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.41739
191.734	37.5682	2.59059	0.0368387	-0.0938096	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.058609
191.703	37.5339	2.26527	0.0119889	-0.115661	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.772002
193.473	37.2818	1.79887	-0.185048	-0.164833	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.029932
193.506	37.297	2.14595	-0.171838	-0.14102	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.290102
195.985	37.3828	3.22492	0.178693	0.151711	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	0.643489
195.841	37.3879	2.12536	0.204859	0.17133	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.70634
197.723	37.7336	2.18893	0.233108	0.086689	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.0448346
197.68	37.7023	1.97513	0.212683	0.0749561	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.854941
199.29	37.3101	1.4858	-0.341225	-0.297331	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.906413
199.315	37.3221	1.80696	-0.305573	-0.255985	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.187772
201.539	36.9789	3.09869	-0.070054	0.0356326	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	0.704948
201.36	36.9942	2.03052	-0.139138	-0.0847787	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	5.53948
202.964	36.46	1.8261	-0.320245	-0.140201	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0232477
202.911	36.4958	1.56453	-0.319269	-0.158037	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	2.01788
203.989	36.1874	1.11987	-0.260753	-0.0328137	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.122058
203.998	36.186	1.50182	-0.220089	0.0204116	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.954405
